	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx
725	Adiponectin measurement	adiponectin measurement	EFO:0004502	36280733	Mixed	5739.0	EUR	Ascertained Q	Mixed N	725
727	Adipon measurement	adiponectin measurement	EFO:0004502	31367044	Finnish	14172.0	EUR	Population Q		727
728	Platelet_count	platelet count	EFO:0004309	37262146	UKB	409927.0	EUR	Population Q	Mixed Q/CC	728
729	Red_blood_cell_erythrocyte_distribution_width	Red cell distribution width	EFO:0009188	37262146	UKB	454712.0	EUR	Exclude	Mixed Q/CC	729
731	Other abdominal problem	Abdominal colic	HP:0011848	34375979	UKB	281104.0	EUR	Population CC/Q		731
739	Attention to ileostomy	ileostomy	EFO:0010681	34375979	UKB	281104.0	EUR	Population CC/Q		739
740	Chondrocostal junction s[tietze]	Tietze syndrome	MONDO:0001858	34375979	UKB	281104.0	EUR	Population CC/Q		740
741	Acute obstructive lar[croup] and epiglottitis	epiglottitis	EFO:0007261	34375979	UKB	281104.0	EUR	Population CC/Q		741
743	Diastolic blood pressure	diastolic blood pressure	EFO:0006336	27161037	Exclude	855.0			Odd chromosomes only	743
749	Pulse_rate_automated_reading	heart rate	EFO:0004326	37262146	UKB	395562.0	EUR	Population Q	Mixed Q/CC	749
750	Other sand tenosynovitis	tenosynovitis	EFO:1001435	34375979	UKB	281104.0	EUR	Population CC/Q		750
751	Balanitis obliterans	balanitis	EFO:1000833	34375979	UKB	281104.0	EUR	Population CC/Q		751
752	Diastolic blood pressure	diastolic blood pressure	EFO:0006336	33230300	Mixed	670472.0	EUR	Population Q		752
756	Splenomegalnot elsewhere classified	cardiomyopathy	EFO:0000318	34375979	UKB	281104.0	EUR	Population CC/Q		756
757	Diastolic blood pressure	diastolic blood pressure	EFO:0006336	27980634	Exclude				Not enough info	757
759	Cerebrovascular disease	cerebrovascular disorder	EFO:0003763	34375979	UKB	281104.0	EUR	Population CC/Q		759
761	Alzheimer’s	Alzheimer disease	MONDO:0004975	26379234	ADNI	505.0	Mixed	Ascertained CC		761
764	Eczema|dermatitis	contact dermatitis	EFO:0005319	34375979	UKB	281104.0	EUR	Population CC/Q		764
765	Oral mucositis (ulcerative	oral mucositis	EFO:1001904	34375979	UKB	281104.0	EUR	Population CC/Q		765
782	Other disorders of the musculoskeletal sand connective tissue	connective tissue disease	EFO:1001986	34375979	UKB	281104.0	EUR	Population CC/Q		782
788	Osteopenia	Osteopenia	HP:0000938	34375979	UKB	281104.0	EUR	Population CC/Q		788
789	Contraceptive management	contraception	EFO:0009520	34375979	UKB	281104.0	EUR	Population CC/Q		789
790	Blood WHITE COUNT	leukocyte count	EFO:0004308	34226706	UKB	444734.0	EUR	Population Q		790
793	Hyperthyroidism|thyrotoxicosis	Thyrotoxicosis	EFO:0009190	34375979	UKB	281104.0	EUR	Population CC/Q		793
795	Traumatic subdural haemorrhage (without open intracranial wound	Subdural hemorrhage	HP:0100309	34375979	UKB	281104.0	EUR	Population CC/Q		795
796	Monocyte count	monocyte count	EFO:0005091	36138231	UKB	162010.0	EUR	Population Q	Mixed Q/CC	796
797	White blood cell (leukocyte) count	leukocyte count	EFO:0004308	36138231	UKB	162249.0	EUR	Population Q	Mixed Q/CC	797
798	Lymphocyte count	lymphocyte count	EFO:0004587	36138231	UKB	162010.0	EUR	Population Q	Mixed Q/CC	798
800	Tuberculosis (tb	pulmonary tuberculosis	EFO:1000049	34375979	UKB	281104.0	EUR	Population CC/Q		800
802	Bacterial infection	bacterial disease	EFO:0000771	34375979	UKB	281104.0	EUR	Population CC/Q		802
804	Biochemistry Lipoprotein A	lipoprotein	EFO:0003836	34226706	UKB	348806.0	EUR	Population Q		804
807	Lipoprotein a measurement	lipoprotein A measurement	EFO:0006925	36088354	UKB	146248.0	EUR	Population Q		807
809	Kidney cancer	kidney neoplasm	EFO:0003865	34244158	MyCode	7595.0	EUR	Population CC	Mixed N	809
810	Secondarmalignant neoplasm of brain and cerebral meninges	brain neoplasm	EFO:0003833	34375979	UKB	281104.0	EUR	Population CC/Q		810
812	Perichondritis of eear	perichondritis of auricle	MONDO:0002246	34375979	UKB	281104.0	EUR	Population CC/Q		812
813	Mumps | epidemic parotitis	Mumps virus infectious disease	EFO:0007383	34375979	UKB	281104.0	EUR	Population CC/Q		813
814	Tibial artery systolic  blood pressure	systolic blood pressure	EFO:0006335	32436959	Exclude	99785.0	EUR	Population Q	Candidate Approach	814
816	Cervical cancer	cervical cancer	MONDO:0002974	34375979	UKB	281104.0	EUR	Population CC/Q		816
817	Volume of non wm hypointensities whole brain (26529)	whole-brain volume	EFO:0005089	34662886	UKB	454787.0	EUR	Population Q	Separate File	817
821	Atrial fibrillation	atrial fibrillation	EFO:0000275	34375979	UKB	281104.0	EUR	Population CC/Q		821
822	Heel_bone_mineral_density_bmd_t_score_automated	heel bone mineral density	EFO:0009270	37262146	UKB	235897.0	EUR	Population Q	Mixed Q/CC	822
827	Severe cervical dnot elsewhere classified	cardiomyopathy	EFO:0000318	34375979	UKB	281104.0	EUR	Population CC/Q		827
839	Connective tissue disorder	connective tissue disease	EFO:1001986	34375979	UKB	281104.0	EUR	Population CC/Q		839
843	D| dysmenorrhea	Dysmenorrhea	HP:0100607	34375979	UKB	281104.0	EUR	Population CC/Q		843
846	Heart arrhythmia	cardiac rhythm disease	MONDO:0007263	34375979	UKB	281104.0	EUR	Population CC/Q		846
847	Fracture wrist | colles fracture	wrist fracture	EFO:0009515	34375979	UKB	281104.0	EUR	Population CC/Q		847
849	Single deliverbcaesarean section	cesarean section	EFO:0009636	34375979	UKB	281104.0	EUR	Population CC/Q		849
850	Schizophrenia	schizophrenia	MONDO:0005090	36914870	Exclude	22135.0			Candidate Approach	850
851	Diabetes	diabetes mellitus	EFO:0000400	34375979	UKB	281104.0	EUR	Population CC/Q		851
852	Bone mineral density	bone density	EFO:0003923	20876667	Review					852
853	Meningitis	meningitis	MONDO:0021108	34375979	UKB	281104.0	EUR	Population CC/Q		853
854	Monocyte_percentage	monocyte percentage of leukocytes	EFO:0007989	37262146	UKB	409160.0	EUR	Population Q	Mixed Q/CC	854
858	Adjustment and management of cardiac pacemaker	encounter with health service for adjustment and management of implanted device	EFO:0020982	34375979	UKB	281104.0	EUR	Population CC/Q		858
861	SHBG measurement	sex hormone-binding globulin measurement	EFO:0004696	37262146	UKB	365408.0	EUR	Population Q	Mixed Q/CC	861
866	Fracture of lower end of tibia (closed	tibia fracture	EFO:0003944	34375979	UKB	281104.0	EUR	Population CC/Q		866
867	Eosinophill_count	granulocyte count	EFO:0007987	37262146	UKB	409154.0	EUR	Population Q	Mixed Q/CC	867
868	Other predominantlsediseases| not elsewhere classified	respiratory system disease	EFO:0000684	34375979	UKB	281104.0	EUR	Population CC/Q		868
870	Coxarthrosis [arthrosis of hip])	osteoarthritis, hip	EFO:1000786	34375979	UKB	281104.0	EUR	Population CC/Q		870
871	Alzheimer disease	Alzheimer disease	MONDO:0004975	33804025	ADNI	713.0	EUR	Ascertained Q	> 95% EUR	871
874	Non-tomultinodular goitre	nontoxic goiter	MONDO:0001658	34375979	UKB	281104.0	EUR	Population CC/Q		874
885	Biochemistry Aspartate Amino transferase	aspartate(1-)	CHEBI:35391	34226706	UKB	436275.0	EUR	Population Q		885
886	Biochemistry Creatinine	creatinine	CHEBI:16737	34226706	UKB	437660.0	EUR	Population Q		886
887	Acute upper respiratorinfections	common cold	EFO:0007214	34375979	UKB	281104.0	EUR	Population CC/Q		887
889	Tinnitus | tiniitis	Tinnitus	HP:0000360	34375979	UKB	281104.0	EUR	Population CC/Q		889
890	GLY measurement	glycine measurement	EFO:0009767	31367044	Finnish	8206.0	EUR	Population Q		890
897	Breast cancer	breast cancer	MONDO:0007254	34375979	UKB	281104.0	EUR	Population CC/Q		897
908	Valgus deformitnot elsewhere classified	cardiomyopathy	EFO:0000318	34375979	UKB	281104.0	EUR	Population CC/Q		908
909	Mitral (valve prolapse	Mitral valve prolapse	HP:0001634	34375979	UKB	281104.0	EUR	Population CC/Q		909
911	Effusion of joint (ankle and foot	joint disease	EFO:1000999	34375979	UKB	281104.0	EUR	Population CC/Q		911
914	Eosinophill count (30150)	granulocyte count	EFO:0007987	34662886	UKB	454787.0	EUR	Population Q	Separate File	914
917	Glaucoma secondarto other edisorders	hereditary glaucoma	MONDO:0018174	34375979	UKB	281104.0	EUR	Population CC/Q		917
918	Eosinophil count	eosinophil count	EFO:0004842	35935937	UKB	200000.0	EUR	Q		918
919	Lobular carcinoma| nos	invasive lobular carcinoma	EFO:0000553	34375979	UKB	281104.0	EUR	Population CC/Q		919
921	Chapter diseases of the musculoskeletal sand connective tissue	connective tissue disease	EFO:1001986	34375979	UKB	281104.0	EUR	Population CC/Q		921
922	UREA	urea	CHEBI:16199	37262146	UKB	402595.0	EUR	Population Q	Mixed Q/CC	922
926	Phosphate	phosphate	CHEBI:26020	31992710	UKB	35692.0	EUR	Population Q	Mixed Q/CC	926
927	Alkaline phosphatase (+2) measurement	alkaline phosphatase measurement	EFO:0004533	36088354	UKB	182741.0	EUR	Population Q		927
928	High cholesterol	NHDL cholesterol	EFO:0005688	34375979	UKB	281104.0	EUR	Population CC/Q		928
933	Observation for other suspected cardiovascular diseases	cardiovascular disease	EFO:0000319	34375979	UKB	281104.0	EUR	Population CC/Q		933
936	Back problem	Back pain	HP:0003418	34375979	UKB	281104.0	EUR	Population CC/Q		936
941	Sciatica (site unspecified	Sciatica	HP:0011868	34375979	UKB	281104.0	EUR	Population CC/Q		941
950	Atherosclerosis of arteries of e(without gangrene	atherosclerosis	EFO:0003914	34375979	UKB	281104.0	EUR	Population CC/Q		950
952	Crohn's disease	Crohn's disease	EFO:0000384	21738570	WTCCC	4690.0	EUR	Ascertained CC		952
957	Crohn's disease [regional enteritis])	Crohn's disease	EFO:0000384	34375979	UKB	281104.0	EUR	Population CC/Q		957
958	Deficiencof other b group vitamins	disorder of other vitamins and cofactors metabolism and transport	MONDO:0017760	34375979	UKB	281104.0	EUR	Population CC/Q		958
961	Irritable bowel swith diarrhoea	irritable bowel syndrome	EFO:0000555	34375979	UKB	281104.0	EUR	Population CC/Q		961
962	Other specified disorders of cartilage (other	digestive system disease	EFO:0000405	34375979	UKB	281104.0	EUR	Population CC/Q		962
963	Fracture of neck of femur (closed	femoral neck fracture	EFO:1001792	34375979	UKB	281104.0	EUR	Population CC/Q		963
967	Hypertension	hypertension	EFO:0000537	34375979	UKB	281104.0	EUR	Population CC/Q		967
969	Height	body height	EFO:0004339	35177841	UKB	199765.0	EUR	Population Q		969
971	Triglycerides measurement	triglyceride measurement	EFO:0004530	36280733	Mixed	76434.0	EUR	Ascertained Q	Mixed N	971
972	Triglycerides	triglyceride	CHEBI:17855	36280733	Mixed	76434.0	EUR	Ascertained Q	Mixed N	972
973	Triglyceride	triglyceride	CHEBI:17855	36280733	Mixed	76434.0	EUR	Ascertained Q	Mixed N	973
974	Platelet_distribution_width	platelet component distribution width	EFO:0007984	37262146	UKB	409922.0	EUR	Population Q	Mixed Q/CC	974
979	High cholesterol	NHDL cholesterol	EFO:0005688	36809768	UKB	412393.0	EUR	Population CC	Separate File	979
992	Triglycerides measurement	triglyceride measurement	EFO:0004530	31992710	UKB	46875.0	EUR	Population Q	Mixed Q/CC	992
993	Triglycerides	triglyceride	CHEBI:17855	31992710	UKB	46875.0	EUR	Population Q	Mixed Q/CC	993
996	Interstitial c(chronic	interstitial cystitis	EFO:0008507	34375979	UKB	281104.0	EUR	Population CC/Q		996
1001	Cholesterol	cholesterol	CHEBI:16113	31992710	UKB	48732.0	EUR	Population Q	Mixed Q/CC	1001
1002	Triglycerides (+4) measurement	triglyceride measurement	EFO:0004530	36088354	UKB	182586.0	EUR	Population Q		1002
1003	Remnant-c measurement	remnant cholesterol measurement	EFO:0010815	31367044	Finnish	10984.0	EUR	Population Q		1003
1004	TOTPG measurement	phospholipid measurement	EFO:0004639	31367044	Finnish	10970.0	EUR	Population Q		1004
1005	MUFA measurement	fatty acid measurement	EFO:0005110	31367044	Finnish	8751.0	EUR	Population Q		1005
1006	VLDL-C measurement	very low density lipoprotein particle size measurement	EFO:0008594	31367044	Finnish	10984.0	EUR	Population Q		1006
1007	PUFA measurement	polyunsaturated fatty acid measurement	EFO:0010733	31367044	Finnish	8751.0	EUR	Population Q		1007
1008	PC	pachyonychia congenita	MONDO:0016471	31367044	Finnish	10970.0	EUR	Population Q		1008
1018	Triglycerides (+1) measurement	triglyceride measurement	EFO:0004530	36088354	UKB	182586.0	EUR	Population Q		1018
1019	Type 2 diabetes	type 2 diabetes mellitus	MONDO:0005148	28480134	Exclude	7844.0	Mixed	Ascertained Q	Lists T2D, but study is actually of other biomarkers in T2D patients	1019
1023	Triglycerides	triglyceride	CHEBI:17855	36220816	TOPMed	66000.0	Mixed	Population Q		1023
1024	HDL2-C measurement	HDL cholesterol change measurement	EFO:0007805	31367044	Finnish	10984.0	EUR	Population Q		1024
1036	Hereditary|genetic haematological disorder	genetic disorder	EFO:0000508	34375979	UKB	281104.0	EUR	Population CC/Q		1036
1042	Miandepressive disorder	schizoaffective disorder	EFO:0005411	34375979	UKB	281104.0	EUR	Population CC/Q		1042
1045	Biochemistry Glucose	glucose	CHEBI:17234	34226706	UKB	400458.0	EUR	Population Q		1045
1048	CIT measurement	citrate measurement	EFO:0010114	31367044	Finnish	10973.0	EUR	Population Q		1048
1049	Seronegative rheumatoid arthritis (site unspecified	rheumatoid arthritis	EFO:0000685	34375979	UKB	281104.0	EUR	Population CC/Q		1049
1050	Chronic kidnedisease| stage 5	stage 5 chronic kidney disease	EFO:0009909	34375979	UKB	281104.0	EUR	Population CC/Q		1050
1051	Ulcerative (chronic enterocolitis	ulcerative proctosigmoiditis	EFO:1001223	34375979	UKB	281104.0	EUR	Population CC/Q		1051
1054	Cystatin_c measurement	cystatin C measurement	EFO:0004617	37262146	UKB	402826.0	EUR	Population Q	Mixed Q/CC	1054
1059	Total_protein measurement	total blood protein measurement	EFO:0004536	37262146	UKB	368534.0	EUR	Population Q	Mixed Q/CC	1059
1060	Lymphocyte_count	lymphocyte count	EFO:0004587	37262146	UKB	409154.0	EUR	Population Q	Mixed Q/CC	1060
1066	Other chronic obstructive pulmonardisease	Chronic Obstructive Asthma	EFO:0009759	34375979	UKB	281104.0	EUR	Population CC/Q		1066
1071	General sand signs	vital signs	EFO:0004303	34375979	UKB	281104.0	EUR	Population CC/Q		1071
1073	Total protein measurement	total blood protein measurement	EFO:0004536	36088354	UKB	167930.0	EUR	Population Q		1073
1083	Aortic aneurand dissection	Aortic dissection	HP:0002647	34375979	UKB	281104.0	EUR	Population CC/Q		1083
1086	Height	body height	EFO:0004339	27646141	COPDGene	399.0	EUR	Population Q		1086
1087	Secondarmalignant neoplasm of retroperitoneum and peritoneum	retroperitoneal cancer	EFO:0007466	34375979	UKB	281104.0	EUR	Population CC/Q		1087
1091	Spinal injury	spinal injury	MONDO:0037747	34375979	UKB	281104.0	EUR	Population CC/Q		1091
1096	Polof corpus uteri	corpus uteri neoplasm	MONDO:0021254	34375979	UKB	281104.0	EUR	Population CC/Q		1096
1097	Other iron deficiencanaemias	Iron deficiency anemia	HP:0001891	34375979	UKB	281104.0	EUR	Population CC/Q		1097
1102	Disc degeneration	lumbar disc degeneration	EFO:0004994	34375979	UKB	281104.0	EUR	Population CC/Q		1102
1103	Panic disorder	panic disorder	EFO:0004262	20876667	Review					1103
1108	Hepatitis	Hepatitis	HP:0012115	34375979	UKB	281104.0	EUR	Population CC/Q		1108
1110	Pericardial effusion (noninflammatory	pericardial effusion	MONDO:0001370	34375979	UKB	281104.0	EUR	Population CC/Q		1110
1111	Back pain	Back pain	HP:0003418	34375979	UKB	281104.0	EUR	Population CC/Q		1111
1112	Other specified disorders of bone (other	digestive system disease	EFO:0000405	34375979	UKB	281104.0	EUR	Population CC/Q		1112
1118	Systolic_blood_pressure_automated_reading	systolic blood pressure	EFO:0006335	37262146	UKB	386579.0	EUR	Population Q	Mixed Q/CC	1118
1119	Poisoning bantiepileptic| sedative-hand anti-parkinsonism drugs	poisoning	EFO:0008546	34375979	UKB	281104.0	EUR	Population CC/Q		1119
1120	Special screening efor neoplasm of intestinal tract	intestinal neoplasm	MONDO:0021118	34375979	UKB	281104.0	EUR	Population CC/Q		1120
1122	Cof oral region| not elsewhere classified	respiratory system disease	EFO:0000684	34375979	UKB	281104.0	EUR	Population CC/Q		1122
1123	TYR measurement	tyrosine measurement	EFO:0005058	31367044	Finnish	8754.0	EUR	Population Q		1123
1124	Sand signs involving speech and voice	Nasal speech	HP:0001611	34375979	UKB	281104.0	EUR	Population CC/Q		1124
1125	APOB measurement	apolipoprotein B change measurement	EFO:0020874	31367044	Finnish	14459.0	EUR	Population Q		1125
1126	IDL-C measurement	intermediate density lipoprotein measurement	EFO:0008595	31367044	Finnish	10987.0	EUR	Population Q		1126
1127	IDL-P measurement	intermediate density lipoprotein measurement	EFO:0008595	31367044	Finnish	10984.0	EUR	Population Q		1127
1130	Neoplasm	neoplasm	EFO:0000616	34375979	UKB	281104.0	EUR	Population CC/Q		1130
1136	Transient ischaemic attack (tia	transient ischemic attack	EFO:0003764	34375979	UKB	281104.0	EUR	Population CC/Q		1136
1137	Acne|acne vulgaris	acne	EFO:0003894	34375979	UKB	281104.0	EUR	Population CC/Q		1137
1142	Foreign bodin oesophagus	foreign body	EFO:0009525	34375979	UKB	281104.0	EUR	Population CC/Q		1142
1154	Rectal or colon adenoma|polyps	colon adenoma	MONDO:0000527	34375979	UKB	281104.0	EUR	Population CC/Q		1154
1155	Large bowel cancer|colorectal cancer	colorectal cancer	EFO:0005842	34375979	UKB	281104.0	EUR	Population CC/Q		1155
1157	Postprocedural disorders of digestive snot elsewhere classified	digestive system disease	EFO:0000405	34375979	UKB	281104.0	EUR	Population CC/Q		1157
1163	Aortic aneurof unspecified site| without mention of rupture	Aortic Rupture	EFO:1001268	34375979	UKB	281104.0	EUR	Population CC/Q		1163
1164	Colon cancer|sigmoid cancer	hereditary nonpolyposis colon cancer	MONDO:0018630	34375979	UKB	281104.0	EUR	Population CC/Q		1164
1166	Rectal cancer	rectum cancer	EFO:1000657	34375979	UKB	281104.0	EUR	Population CC/Q		1166
1172	Colaus cardiovascular diseases	cardiovascular disease	EFO:0000319	27355347	Exclude	1769.0	EUR		Drug targets, not GWA	1172
1174	Varicella virus	Varicella Zoster infection	EFO:0006509	34375979	UKB	281104.0	EUR	Population CC/Q		1174
1177	Throat or lardisorder	throat disease	EFO:0009479	34375979	UKB	281104.0	EUR	Population CC/Q		1177
1178	High-density lipoprotein cholesterol	high-density lipoprotein cholesterol	CHEBI:47775	36303018	TOPMed	21015.0	Mixed	Population Q		1178
1180	Triglycerides	triglyceride	CHEBI:17855	36564505	TOPMed	200000.0	Mixed	Population Q		1180
1181	Apolipoprotein a (+2) measurement	apolipoprotein A 1 measurement	EFO:0004614	36088354	UKB	167049.0	EUR	Population Q		1181
1182	Triglycerides measurement	triglyceride measurement	EFO:0004530	20876667	Review					1182
1183	Triglyceride levels measurement	triglyceride measurement	EFO:0004530	33763119	Nevada	9183.0	EUR	Population Q		1183
1184	Triglycerides	triglyceride	CHEBI:17855	36303018	TOPMed	21015.0	Mixed	Population Q		1184
1186	Platelet distribution width	platelet component distribution width	EFO:0007984	33257650	UKB	487409.0	EUR	Population Q		1186
1191	Triglycerides (+2) measurement	triglyceride measurement	EFO:0004530	36088354	UKB	182586.0	EUR	Population Q		1191
1192	Platelet distribution width	platelet component distribution width	EFO:0007984	36138231	UKB	162246.0	EUR	Population Q	Mixed Q/CC	1192
