	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx	Trait	Mapped	TraitExp	MappedExp	MAPPED_TRAIT_CLEAN	TRAIT_CODE_CLEAN
136	Pancreatitis	pancreatitis	EFO:0000278	34375979	UKB	281104.0	EUR	Population CC/Q		1952	pancreatitis	pancreatitis	pancreatitis	pancreatitis	pancreatitis	EFO_0000278
137	Aspartate aminotransferase measurement	aspartate aminotransferase, cytoplasmic measurement	EFO:0008031	36088354	UKB	182095.0	EUR	Population Q		1953	aspartate aminotransferase measurement	aspartate aminotransferase, cytoplasmic measurement	aspartate aminotransferase measurement	aspartate aminotransferase, cytoplasmic measurement	aspartate aminotransferase measurement	EFO_0004736
138	Bone disorder	bone disease	EFO:0004260	34375979	UKB	281104.0	EUR	Population CC/Q		1969	bone disorder	bone disease	bone disorder	bone disease	bone disease	EFO_0004260
139	Retinal problem	retinal detachment	EFO:0005773	34375979	UKB	281104.0	EUR	Population CC/Q		1975	retinal problem	retinal detachment	retinal problem	retinal detachment	retinopathy	EFO_0003839
140	Hematuria	Hematuria	HP:0000790	36138231	UKB	161928.0	EUR	Population CC	Mixed Q/CC	1982	hematuria	hematuria	hematuria	hematuria	Hematuria	HP_0000790
141	C-reactive protein measurement	C-reactive protein measurement	EFO:0004458	36303018	TOPMed	21015.0	Mixed	Population Q		2014	c-reactive protein measurement	c-reactive protein measurement	c-reactive protein measurement	c-reactive protein measurement	c-reactive protein measurement	EFO_0004458
142	C-reactive protein measurement	C-reactive protein measurement	EFO:0004458	31992710	UKB	37867.0	EUR	Population Q	Mixed Q/CC	2016	c-reactive protein measurement	c-reactive protein measurement	c-reactive protein measurement	c-reactive protein measurement	c-reactive protein measurement	EFO_0004458
143	C-reactive protein measurement	C-reactive protein measurement	EFO:0004458	36088354	UKB	182319.0	EUR	Population Q		2017	c-reactive protein measurement	c-reactive protein measurement	c-reactive protein measurement	c-reactive protein measurement	c-reactive protein measurement	EFO_0004458
144	Cystatin c measurement	cystatin C measurement	EFO:0004617	31992710	UKB	37968.0	EUR	Population Q	Mixed Q/CC	2025	cystatin c measurement	cystatin c measurement	cystatin c measurement	cystatin c measurement	cystatin c measurement	EFO_0004617
145	Cystatin C measurement	cystatin C measurement	EFO:0004617	31992710	UKB	37968.0	EUR	Population Q	Mixed Q/CC	2026	cystatin c measurement	cystatin c measurement	cystatin c measurement	cystatin c measurement	cystatin c measurement	EFO_0004617
146	Precordial pain	Precordial pain	HP:0032141	36138231	UKB	156196.0	EUR	Population CC	Mixed Q/CC	2030	precordial pain	precordial pain	precordial pain	precordial pain	Precordial pain	HP_0032141
147	Hepatitis b	hepatitis B virus infection	EFO:0004197	34375979	UKB	281104.0	EUR	Population CC/Q		2044	hepatitis b	hepatitis b virus infection	hepatitis b	hepatitis b virus infection	hepatitis B virus infection	EFO_0004197
148	Peripheral nerve disorder	peripheral neuropathy	EFO:0003100	34375979	UKB	281104.0	EUR	Population CC/Q		2057	peripheral nerve disorder	peripheral neuropathy	peripheral nerve disorder	peripheral neuropathy	peripheral neuropathy	EFO_0003100
149	Vitamin d measurement	vitamin D measurement	EFO:0004631	36088354	UKB	174472.0	EUR	Population Q		2071	vitamin d measurement	vitamin d measurement	vitamin d measurement	vitamin d measurement	vitamin D measurement	EFO_0004631
150	Hypertension	hypertension	EFO:0000537	36138231	UKB	166568.0	EUR	Population CC	Mixed Q/CC	2075	hypertension	hypertension	hypertension	hypertension	hypertension	EFO_0000537
151	Telomere length	telomere length	EFO:0004505	36303018	TOPMed	21015.0	Mixed	Population Q		2084	telomere length	telomere length	telomere length	telomere length	chromosome, telomeric region length	OBA_0003784
152	Peptic ulcer	peptic ulcer disease	MONDO:0004247	34375979	UKB	281104.0	EUR	Population CC/Q		2142	peptic ulcer	peptic ulcer disease	peptic ulcer	peptic ulcer disease	peptic ulcer	HP_0004398
153	Lung cancer	lung cancer	MONDO:0008903	34375979	UKB	281104.0	EUR	Population CC/Q		2148	lung cancer	lung cancer	lung cancer	lung cancer	lung cancer	MONDO_0008903
154	Phosphate	phosphate	CHEBI:26020	36088354	UKB	167807.0	EUR	Population Q		2183	phosphate	phosphate	phosphate	phosphate	phosphate measurement	EFO_0010968
155	Psoriasis	psoriasis	EFO:0000676	24212883	Psoriasis	1457.0	EAS	Ascertained CC		2193	psoriasis	psoriasis	psoriasis	psoriasis	psoriasis	EFO_0000676
156	Pernicious anaemia	pernicious anemia	EFO:0005576	34375979	UKB	281104.0	EUR	Population CC/Q		2198	pernicious anaemia	pernicious anemia	pernicious anaemia	pernicious anemia	pernicious anemia	EFO_0005576
157	Alzheimer disease	Alzheimer disease	MONDO:0004975	30255815	ADNI	695.0	EUR	Ascertained Q	Based on other ADNI	2203	alzheimer disease	alzheimer disease	alzheimer disease	alzheimer disease	Alzheimer disease	MONDO_0004975
158	Crohns disease	Crohn's disease	EFO:0000384	34375979	UKB	281104.0	EUR	Population CC/Q		2209	crohns disease	crohn's disease	crohns disease	crohn's disease	crohn's disease	EFO_0000384
159	Stomach disorder	stomach disease	EFO:0009608	34375979	UKB	281104.0	EUR	Population CC/Q		2240	stomach disorder	stomach disease	stomach disorder	stomach disease	stomach disease	EFO_0009608
160	Red blood cell count	erythrocyte count	EFO:0004305	36280733	Mixed	41818.0	EUR	Ascertained Q	Mixed N	2278	red blood cell count	erythrocyte count	red blood cell count	erythrocyte count	red blood cell density	OBA_2045260
161	Glucose	glucose	CHEBI:17234	36280733	Mixed	17763.0	EUR	Ascertained Q	Mixed N	2295	glucose	glucose	glucose	glucose	glucose measurement	EFO_0004468
162	Glucose	glucose	CHEBI:17234	36088354	UKB	167915.0	EUR	Population Q		2297	glucose	glucose	glucose	glucose	glucose measurement	EFO_0004468
163	HbA1C measurement	HbA1c measurement	EFO:0004541	36280733	Mixed	48677.0	EUR	Ascertained Q	Mixed N	2299	hba1c measurement	hba1c measurement	hba1c measurement	hba1c measurement	HbA1c measurement	EFO_0004541
164	IGF-1 measurement	IGF-1 measurement	EFO:0004627	36088354	UKB	181758.0	EUR	Population Q		2320	igf-1 measurement	igf-1 measurement	insulin like growth factor (igf)-1 measurement	insulin like growth factor (igf)-1 measurement	IgF-1 measurement	EFO_0004627
165	Glucose	glucose	CHEBI:17234	35177841	UKB	175213.0	EUR	Population Q		2321	glucose	glucose	glucose	glucose	glucose measurement	EFO_0004468
166	Obesity	obesity	EFO:0001073	29273807	Meta	526508.0	EUR	Population Q	> 80% EUR	2326	obesity	obesity	obesity	obesity	obesity	EFO_0001073
167	Varicose veins	Varicose veins	HP:0002619	34375979	UKB	281104.0	EUR	Population CC/Q		2333	varicose veins	varicose veins	varicose veins	varicose veins	Varicose veins	HP_0002619
168	Aspartate aminotransferase measurement	aspartate aminotransferase, cytoplasmic measurement	EFO:0008031	31992710	UKB	48205.0	EUR	Population Q	Mixed Q/CC	2336	aspartate aminotransferase measurement	aspartate aminotransferase, cytoplasmic measurement	aspartate aminotransferase measurement	aspartate aminotransferase, cytoplasmic measurement	aspartate aminotransferase measurement	EFO_0004736
169	Platelet count	platelet count	EFO:0004309	33257650	UKB	487409.0	EUR	Population Q		2337	platelet count	platelet count	platelet count	platelet count	platelet count	EFO_0004309
170	Platelet count	platelet count	EFO:0004309	31992710	UKB	50129.0	EUR	Population Q	Mixed Q/CC	2339	platelet count	platelet count	platelet count	platelet count	platelet count	EFO_0004309
171	Inflammatory bowel disease	inflammatory bowel disease	EFO:0003767	36138231	UKB	166960.0	EUR	Population CC	Mixed Q/CC	2348	inflammatory bowel disease	inflammatory bowel disease	inflammatory bowel disease	inflammatory bowel disease	inflammatory bowel disease	EFO_0003767
172	Blood pressure	blood pressure	EFO:0004325	27980654	GAW19	1851.0	AMX	Population Q	Mexican american	2366	blood pressure	blood pressure	blood pressure	blood pressure	blood pressure trait	OBA_VT0000183
173	Mean corpuscular volume	mean corpuscular volume	EFO:0004526	31992710	UKB	50100.0	EUR	Population Q	Mixed Q/CC	2373	mean corpuscular volume	mean corpuscular volume	mean corpuscular volume	mean corpuscular volume	erythrocyte volume	OBA_0003460
174	Mean sphered cell volume	mean corpuscular volume	EFO:0004526	31992710	UKB	37523.0	EUR	Population Q	Mixed Q/CC	2376	mean sphered cell volume	mean corpuscular volume	mean sphered cell volume	mean corpuscular volume	erythrocyte volume	OBA_0003460
175	Psoriasis vulgaris	psoriasis vulgaris	EFO:1001494	36138231	UKB	163293.0	EUR	Population CC	Mixed Q/CC	2387	psoriasis vulgaris	psoriasis vulgaris	psoriasis vulgaris	psoriasis vulgaris	psoriasis vulgaris	EFO_1001494
176	Prostate cancer	prostate cancer	MONDO:0008315	36138231	UKB	75309.0	EUR	Population CC	Mixed Q/CC	2396	prostate cancer	prostate cancer	prostate cancer	prostate cancer	prostate cancer	MONDO_0008315
177	Prostate cancer	prostate cancer	MONDO:0008315	34244158	MyCode	8432.0	EUR	Population CC	Mixed N	2397	prostate cancer	prostate cancer	prostate cancer	prostate cancer	prostate cancer	MONDO_0008315
178	Asthma	asthma	MONDO:0004979	36138231	UKB	164470.0	EUR	Population CC	Mixed Q/CC	2431	asthma	asthma	asthma	asthma	asthma	MONDO_0004979
179	Platelet crit	platelet crit	EFO:0007985	31992710	UKB	39307.0	EUR	Population Q	Mixed Q/CC	2469	platelet crit	platelet crit	platelet crit	platelet crit	platelet crit	EFO_0007985
180	Angina pectoris	angina pectoris	EFO:0003913	36809768	UKB	412393.0	EUR	Population CC	Separate File	2517	angina pectoris	angina pectoris	angina pectoris	angina pectoris	angina pectoris	EFO_0003913
181	Cardiovascular measurement	cardiovascular measurement	EFO:0004298	36809768	UKB	412393.0	EUR	Population CC	Separate File	2519	cardiovascular measurement	cardiovascular measurement	cardiovascular measurement	cardiovascular measurement	cardiovascular measurement	EFO_0004298
182	Angina	angina pectoris	EFO:0003913	36809768	UKB	412393.0	EUR	Population CC	Separate File	2526	angina	angina pectoris	angina	angina pectoris	angina pectoris	EFO_0003913
183	Diabetes mellitus	diabetes mellitus	EFO:0000400	36809768	UKB	412393.0	EUR	Population CC	Separate File	2548	diabetes mellitus	diabetes mellitus	diabetes mellitus	diabetes mellitus	diabetes mellitus	EFO_0000400
184	Diabetes	diabetes mellitus	EFO:0000400	36809768	UKB	412393.0	EUR	Population CC	Separate File	2550	diabetes	diabetes mellitus	diabetes	diabetes mellitus	diabetes mellitus	EFO_0000400
185	Glucose	glucose	CHEBI:17234	31992710	UKB	47200.0	EUR	Population Q	Mixed Q/CC	2556	glucose	glucose	glucose	glucose	glucose measurement	EFO_0004468
186	Type 2 diabetes	type 2 diabetes mellitus	MONDO:0005148	36138231	UKB	166445.0	EUR	Population CC	Mixed Q/CC	2558	type 2 diabetes	type 2 diabetes mellitus	type 2 diabetes	type 2 diabetes mellitus	type 2 diabetes mellitus	MONDO_0005148
187	Bipolar disorder	bipolar disorder	MONDO:0004985	28195573	Faroe Islands	242.0	EUR	Ascertained CC		2669	bipolar disorder	bipolar disorder	bipolar disorder	bipolar disorder	bipolar disorder	MONDO_0004985
188	Osteoporosis	osteoporosis	EFO:0003882	34375979	UKB	281104.0	EUR	Population CC/Q		2670	osteoporosis	osteoporosis	osteoporosis	osteoporosis	osteoporosis	EFO_0003882
189	Chronic sinusitis	sinusitis	EFO:0007486	36138231	UKB	160254.0	EUR	Population CC	Mixed Q/CC	2672	chronic sinusitis	sinusitis	chronic sinusitis	sinusitis	sinusitis	EFO_0007486
190	Carcinoid tumor	carcinoid tumor	EFO:0004243	34375979	UKB	281104.0	EUR	Population CC/Q		2694	carcinoid tumor	carcinoid tumor	carcinoid tumor	carcinoid tumor	carcinoid tumor	EFO_0004243
191	Hypertensive renal disease	hypertensive nephropathy	MONDO:0024633	36809768	UKB	412393.0	EUR	Population CC	Separate File	2722	hypertensive renal disease	hypertensive nephropathy	hypertensive renal disease	hypertensive nephropathy	hypertensive nephropathy	MONDO_0024633
192	Cystic kidney disease	Cystic Kidney Disease	EFO:0008615	36809768	UKB	412393.0	EUR	Population CC	Separate File	2737	cystic kidney disease	cystic kidney disease	cystic kidney disease	cystic kidney disease	cystic kidney disease	EFO_0008615
193	End-stage renal disease	stage 5 chronic kidney disease	EFO:0009909	36809768	UKB	412393.0	EUR	Population CC	Separate File	2742	end-stage renal disease	stage 5 chronic kidney disease	end-stage renal disease	stage 5 chronic kidney disease	chronic kidney disease	EFO_0003884
194	Chronic renal failure	stage 5 chronic kidney disease	EFO:0009909	36809768	UKB	412393.0	EUR	Population CC	Separate File	2750	chronic renal failure	stage 5 chronic kidney disease	chronic renal failure	stage 5 chronic kidney disease	chronic kidney disease	EFO_0003884
195	Hypertension	hypertension	EFO:0000537	36809768	UKB	412393.0	EUR	Population CC	Separate File	2766	hypertension	hypertension	hypertension	hypertension	hypertension	EFO_0000537
196	Chronic kidney disease	chronic kidney disease	EFO:0003884	36809768	UKB	412393.0	EUR	Population CC	Separate File	2778	chronic kidney disease	chronic kidney disease	chronic kidney disease	chronic kidney disease	chronic kidney disease	EFO_0003884
197	Acute renal failure	Acute kidney injury	HP:0001919	36809768	UKB	412393.0	EUR	Population CC	Separate File	2781	acute renal failure	acute kidney injury	acute renal failure	acute kidney injury	chronic kidney disease	EFO_0003884
198	Squamous cell carcinoma	squamous cell carcinoma	EFO:0000707	36809768	UKB	412393.0	EUR	Population CC	Separate File	2796	squamous cell carcinoma	squamous cell carcinoma	squamous cell carcinoma	squamous cell carcinoma	squamous cell carcinoma	EFO_0000707
199	Type 1 diabetes	type 1 diabetes mellitus	MONDO:0005147	36138231	UKB	160149.0	EUR	Population CC	Mixed Q/CC	2827	type 1 diabetes	type 1 diabetes mellitus	type 1 diabetes	type 1 diabetes mellitus	type 1 diabetes mellitus	MONDO_0005147
200	Type 1 diabetes	type 1 diabetes mellitus	MONDO:0005147	20549515	WTCCC	5000.0	EUR	Ascertained CC		2830	type 1 diabetes	type 1 diabetes mellitus	type 1 diabetes	type 1 diabetes mellitus	type 1 diabetes mellitus	MONDO_0005147
201	Diastolic blood pressure	diastolic blood pressure	EFO:0006336	27980654	GAW19	1851.0	AMX	Population Q	Mexican american	2855	diastolic blood pressure	diastolic blood pressure	diastolic blood pressure	diastolic blood pressure	diastolic blood pressure	EFO_0006336
202	Icd10 m10: gout	gout	EFO:0004274	34662886	UKB	454787.0	EUR	Population Q	Separate File	2858	icd10 m10: gout	gout	icd10 m10: gout	gout	gout	EFO_0004274
203	URATE measurement	urate measurement	EFO:0004531	31992710	UKB	39645.0	EUR	Population Q	Mixed Q/CC	2859	urate measurement	urate measurement	urate measurement	urate measurement	urate measurement	EFO_0004531
204	Waist-hip ratio	waist-hip ratio	EFO:0004343	36280733	Mixed	73027.0	EUR	Ascertained Q	Mixed N	2872	waist-hip ratio	waist-hip ratio	waist-hip ratio	waist-hip ratio	waist-hip ratio	EFO_0004343
205	Peripheral vascular disease	peripheral vascular disease	EFO:0003875	34375979	UKB	281104.0	EUR	Population CC/Q		2880	peripheral vascular disease	peripheral vascular disease	peripheral vascular disease	peripheral vascular disease	peripheral vascular disease	EFO_0003875
206	Weight	body weight	EFO:0004338	31367044	Finnish	19241.0	EUR	Population Q		2888	weight	body weight	weight	body weight	body weight	EFO_0004338
207	Hypertension	hypertension	EFO:0000537	19847924	WTCCC	4790.0	EUR	Ascertained CC		2889	hypertension	hypertension	hypertension	hypertension	hypertension	EFO_0000537
208	Platelet distribution width	platelet component distribution width	EFO:0007984	31992710	UKB	39307.0	EUR	Population Q	Mixed Q/CC	2913	platelet distribution width	platelet component distribution width	platelet distribution width	platelet component distribution width	platelet component distribution width	EFO_0007984
209	Coronary artery disease	coronary artery disease	EFO:0001645	28642624	PDAY	985.0	EUR, AFR	Population CC		2916	coronary artery disease	coronary artery disease	coronary artery disease	coronary artery disease	coronary artery disease	EFO_0001645
210	Hernia	Hernia	HP:0100790	34375979	UKB	211329.0	EUR	Population CC		664	hernia	hernia	hernia	hernia	Hernia	HP_0100790
211	Asthma	asthma	MONDO:0004979	34375979	UKB	253803.0	EUR	Population CC		576	asthma	asthma	asthma	asthma	asthma	MONDO_0004979
212	Diaphragmatic hernia	diaphragmatic hernia	EFO:0008561	34375979	UKB	260008.0	EUR	Population CC		496	diaphragmatic hernia	diaphragmatic hernia	diaphragmatic hernia	diaphragmatic hernia	diaphragmatic hernia	EFO_0008561
213	Obesity	obesity	EFO:0001073	34375979	UKB	261751.0	EUR	Population CC		428	obesity	obesity	obesity	obesity	obesity	EFO_0001073
214	Diabetes mellitus	diabetes mellitus	EFO:0000400	34375979	UKB	203275.0	EUR	Population CC		1079	diabetes mellitus	diabetes mellitus	diabetes mellitus	diabetes mellitus	diabetes mellitus	EFO_0000400
215	Irritable bowel syndrome	irritable bowel syndrome	EFO:0000555	34375979	UKB	200018.0	EUR	Population CC		627	irritable bowel syndrome	irritable bowel syndrome	irritable bowel syndrome	irritable bowel syndrome	irritable bowel syndrome	EFO_0000555
216	Angina pectoris	angina pectoris	EFO:0003913	34375979	UKB	190963.0	EUR	Population CC		1140	angina pectoris	angina pectoris	angina pectoris	angina pectoris	angina pectoris	EFO_0003913
217	Dermatophytosis	dermatophytosis	MONDO:0004678	34375979	UKB	226646.0	EUR	Population CC		1294	dermatophytosis	dermatophytosis	dermatophytosis	dermatophytosis	dermatophytosis	MONDO_0004678
